UniProt Accession	Ensembl Gene ID	Gene Symbol	
Q8N957	ENSG00000153930	ANKFN1	
Q99962	ENSG00000107295	SH3GL2	
Q86XP1	ENSG00000102780	DGKH	
Q9UGR2	ENSG00000100403	ZC3H7B	
Q96IF1	ENSG00000129474	AJUBA	
Q07820	ENSG00000143384	MCL1	
A0A5B0	-	TRBV14	
Q9UMZ3	ENSG00000139304	PTPRQ	
Q15109	ENSG00000231268; ENSG00000237405; ENSG00000234729; ENSG00000204305; ENSG00000229058; ENSG00000230514; ENSG00000206320	AGER	
Q9UI26	ENSG00000086200	IPO11	
Q6ZN06	ENSG00000198346	ZNF813	
Q9BPV8	ENSG00000181631	P2RY13	
Q8IXH6	ENSG00000078804	TP53INP2	
P98169	ENSG00000198455	ZXDB	
Q92752	ENSG00000116147	TNR	
Q9HCG7	ENSG00000070610	GBA2	
P0C6A0	ENSG00000220201	ZGLP1	
Q5T230	ENSG00000171794	UTF1	
P23763	ENSG00000139190	VAMP1	
P0DN26	ENSG00000271567; ENSG00000275974; ENSG00000279782	PPIAL4F	
Q5TA76	ENSG00000185962	LCE3A	
Q9GZU2	ENSG00000198300	PEG3	
O00267	ENSG00000196235	SUPT5H	
Q3SYB3	ENSG00000273514	FOXD4L6	
Q8TBC3	ENSG00000160410	SHKBP1	
P11161	ENSG00000122877	EGR2	
P78369	ENSG00000134873	CLDN10	
B3EWG6	ENSG00000276430; ENSG00000189090; ENSG00000188100	FAM25G	
Q96K62	ENSG00000119574	ZBTB45	
Q96T25	ENSG00000139800	ZIC5	
Q16288	ENSG00000140538	NTRK3	
Q9BUV0	ENSG00000117616	RSRP1	
P26842	ENSG00000139193	CD27	
Q15319	ENSG00000091010	POU4F3	
Q8NGQ4	ENSG00000180475	OR10Q1	
P33176	ENSG00000170759	KIF5B	
P07951	ENSG00000198467	TPM2	
P13500	ENSG00000108691	CCL2	
Q96PF2	ENSG00000206203	TSSK2	
Q96AX1	ENSG00000139719	VPS33A	
Q9NSB2	ENSG00000161849	KRT84	
P27216	ENSG00000104537	ANXA13	
A6NMB9	ENSG00000261308	FIGNL2	
A8MUP2	ENSG00000214756	CSKMT	
Q567V2	ENSG00000254858	MPV17L2	
P01718	-	IGLV3-27	
P23945	ENSG00000170820	FSHR	
Q9H3Y8	ENSG00000125534	PPDPF	
P31249	ENSG00000128652	HOXD3	
Q9BVA1	ENSG00000137285	TUBB2B	
A8MTL0	ENSG00000214681	IQCF5	
Q8N8V2	ENSG00000213512	GBP7	
Q9BTX3	ENSG00000168701	TMEM208	
Q9C035	ENSG00000132256	TRIM5	
P0CG04	-	IGLC1	
Q9HBT6	ENSG00000101542	CDH20	
Q8NA61	ENSG00000174015	SPERT	
Q9Y2K6	ENSG00000136878	USP20	
Q9H4F1	ENSG00000136840	ST6GALNAC4	
Q8NFB2	ENSG00000269556	TMEM185A	
P55851	ENSG00000175567	UCP2	
Q58A45	ENSG00000152520	PAN3	
Q8WTT2	ENSG00000173145	NOC3L	
Q92902	ENSG00000107521	HPS1	
O00154	ENSG00000097021	ACOT7	
P0DH78	ENSG00000233198	RNF224	
O00408	ENSG00000186642	PDE2A	
Q4LDR2	ENSG00000205279	CTXN3	
Q7Z5A9	ENSG00000183662	FAM19A1	
Q3ZCQ8	ENSG00000105197	TIMM50	
O95081	ENSG00000106351	AGFG2	
Q9Y3C6	ENSG00000137168	PPIL1	
Q8TF74	ENSG00000171475	WIPF2	
Q9C0D4	ENSG00000178163	ZNF518B	
Q8N8U3	ENSG00000179300	RTL3	
Q8IYS4	ENSG00000166246	C16orf71	
Q9H0V1	ENSG00000146802	TMEM168	
Q9Y4K0	ENSG00000134013	LOXL2	
Q9P2T0	ENSG00000105549	THEG	
P24387	ENSG00000145708	CRHBP	
Q07837	ENSG00000138079	SLC3A1	
P43354	ENSG00000153234	NR4A2	
Q7Z5K2	ENSG00000062650	WAPL	
H3BPF8	ENSG00000261739	GOLGA8S	
Q9Y6I9	ENSG00000164081	TEX264	
P48163	ENSG00000065833	ME1	
Q96AB3	ENSG00000063241	ISOC2	
P15502	ENSG00000049540	ELN	
P14672	ENSG00000181856	SLC2A4	
Q8NFV4	ENSG00000106077	ABHD11	
Q3SY69	ENSG00000136010	ALDH1L2	
Q99062	ENSG00000119535	CSF3R	
A0A075B6I1	-	IGLV4-60	
Q9BQ50	ENSG00000183479	TREX2	
Q5JRV8	ENSG00000125355	TMEM255A	
Q15554	ENSG00000132604	TERF2	
Q6UX98	ENSG00000174165	ZDHHC24	
Q8NGJ4	ENSG00000176787	OR52E2	
O76036	ENSG00000278025; ENSG00000284208; ENSG00000277629; ENSG00000277442; ENSG00000275521; ENSG00000275637; ENSG00000276450; ENSG00000278362; ENSG00000189430; ENSG00000274053; ENSG00000275822; ENSG00000284113; ENSG00000273535; ENSG00000275156; ENSG00000273916; ENSG00000277334; ENSG00000277824; ENSG00000273506	NCR1	
P30989	ENSG00000101188	NTSR1	
Q9Y210	ENSG00000137672	TRPC6	
Q7L5L3	ENSG00000102886	GDPD3	
O95685	ENSG00000132825	PPP1R3D	
P11277	ENSG00000070182	SPTB	
Q14681	ENSG00000180901	KCTD2	
Q06190	ENSG00000073711	PPP2R3A	
Q9BQA5	ENSG00000172273	HINFP	
Q9NXC5	ENSG00000164654	MIOS	
Q9Y2H0	ENSG00000080845	DLGAP4	
P10398	ENSG00000078061	ARAF	
O14802	ENSG00000148606	POLR3A	
Q6ZNH5	ENSG00000174586	ZNF497	
P59538	ENSG00000263097; ENSG00000256436; ENSG00000282256	TAS2R31	
O43312	ENSG00000170873	MTSS1	
P27469	ENSG00000123689	G0S2	
P54792	ENSG00000107404	DVL1P1	
Q30KP9	ENSG00000205883; ENSG00000285365	DEFB135	
P0C2W7	ENSG00000236446	CT47B1	
Q9NXF8	ENSG00000153786	ZDHHC7	
P02042	ENSG00000223609	HBD	
Q9H6U6	ENSG00000141376	BCAS3	
Q53HC0	ENSG00000275035; ENSG00000119242	CCDC92	
P58215	ENSG00000115318	LOXL3	
O75715	ENSG00000257770; ENSG00000224586	GPX5	
Q9UPY6	ENSG00000132970	WASF3	
O43781	ENSG00000143479	DYRK3	
Q9BX79	ENSG00000137868	STRA6	
Q12888	ENSG00000067369	TP53BP1	
P52945	ENSG00000139515	PDX1	
P22557	ENSG00000158578	ALAS2	
O60704	ENSG00000128294	TPST2	
P20292	ENSG00000132965	ALOX5AP	
Q96J88	ENSG00000133106	EPSTI1	
Q9UHD2	ENSG00000183735	TBK1	
Q5VST9	ENSG00000154358	OBSCN	
P58335	ENSG00000163297	ANTXR2	
Q9NP87	ENSG00000122678	POLM	
P56880	ENSG00000171217	CLDN20	
O60262	ENSG00000176533	GNG7	
P15621	ENSG00000197857	ZNF44	
O43526	ENSG00000075043; ENSG00000281151	KCNQ2	
O60716	ENSG00000198561	CTNND1	
Q9NP77	ENSG00000160075	SSU72	
Q9UL19	ENSG00000133321	RARRES3	
Q9NWC5	ENSG00000181458	TMEM45A	
Q3MJ40	ENSG00000154874	CCDC144B	
Q6ZTY9	ENSG00000221845	C7orf65	
P42330	ENSG00000196139	AKR1C3	
Q92930	ENSG00000166128	RAB8B	
Q8NI35	ENSG00000132849	PATJ	
Q13467	ENSG00000163251	FZD5	
Q9NQ75	ENSG00000087589	CASS4	
Q96C11	ENSG00000172456	FGGY	
Q5JVX7	ENSG00000203963	C1orf141	
Q8IXQ5	ENSG00000122550	KLHL7	
Q9GZP4	ENSG00000057757	PITHD1	
P23527	ENSG00000274641	HIST1H2BO	
Q8NCM8	ENSG00000187240	DYNC2H1	
P50895	ENSG00000187244	BCAM	
Q8WY36	ENSG00000114439	BBX	
P51677	ENSG00000183625	CCR3	
P49590	ENSG00000112855	HARS2	
Q8IY37	ENSG00000150990	DHX37	
Q86T82	ENSG00000135913	USP37	
P57076	ENSG00000159079	CFAP298	
Q8NBJ5	ENSG00000130309	COLGALT1	
P0CV99	ENSG00000233803	TSPY4	
P07858	ENSG00000164733	CTSB	
Q53GD3	ENSG00000232180; ENSG00000229077; ENSG00000206378; ENSG00000228263; ENSG00000231479; ENSG00000204385; ENSG00000203463; ENSG00000235336	SLC44A4	
O95447	ENSG00000157578	LCA5L	
Q63ZY6	ENSG00000106133	NSUN5P2	
P12318	ENSG00000143226	FCGR2A	
P35219	ENSG00000178538	CA8	
Q8N9B8	ENSG00000198915	RASGEF1A	
P49642	ENSG00000198056	PRIM1	
A6NER3	ENSG00000224659	GAGE12J	
Q9H347	ENSG00000175520	UBQLN3	
A0A087WT01	-	TRAV27	
Q6GPI1	ENSG00000284810; ENSG00000168928	CTRB2	
O95707	ENSG00000105171	POP4	
P55040	ENSG00000164949	GEM	
Q9Y5R5	ENSG00000173253	DMRT2	
Q96ER9	ENSG00000164051	CCDC51	
P0C1Z6	ENSG00000276296; ENSG00000105619; ENSG00000276263; ENSG00000276504; ENSG00000276022; ENSG00000274073; ENSG00000275086; ENSG00000273833; ENSG00000278161; ENSG00000276323	TFPT	
Q9NPH3	ENSG00000196083	IL1RAP	
A7MBM2	ENSG00000140323	DISP2	
P01871	-	IGHM	
Q9NRW4	ENSG00000112679	DUSP22	
Q5VU36	ENSG00000276581	SPATA31A5	
Q9NZJ0	ENSG00000143476	DTL	
O60479	ENSG00000064195	DLX3	
Q30KR1	ENSG00000206034; ENSG00000284851	DEFB109B	
Q92754	ENSG00000087510	TFAP2C	
P22004	ENSG00000153162	BMP6	
P00746	ENSG00000274619; ENSG00000197766	CFD	
Q14108	ENSG00000138760	SCARB2	
Q86SM8	ENSG00000184350	MRGPRE	
P18089	ENSG00000274286	ADRA2B	
A6NGG8	ENSG00000179270	PCARE	
Q9Y2L8	ENSG00000196652	ZKSCAN5	
Q9Y693	ENSG00000183722	LHFPL6	
Q15436	ENSG00000100934	SEC23A	
O43603	ENSG00000182687	GALR2	
O75781	ENSG00000099864	PALM	
P54289	ENSG00000153956	CACNA2D1	
Q9H7X2	ENSG00000162817	C1orf115	
Q8IXT2	ENSG00000142025	DMRTC2	
O14976	ENSG00000178950	GAK	
Q8N3X6	ENSG00000178177	LCORL	
Q9HCH5	ENSG00000137501	SYTL2	
Q8N8C0	ENSG00000196381	ZNF781	
Q6N075	ENSG00000182544	MFSD5	
Q8NFA2	ENSG00000196408	NOXO1	
Q8NB42	ENSG00000189164	ZNF527	
Q5T089	ENSG00000116151	MORN1	
Q9H8G2	ENSG00000120159	CAAP1	
O15397	ENSG00000133704	IPO8	
Q96G28	ENSG00000163001	CFAP36	
P45983	ENSG00000107643	MAPK8	
O43304	ENSG00000103184	SEC14L5	
Q66K64	ENSG00000132017	DCAF15	
O60522	ENSG00000180113	TDRD6	
P61018	ENSG00000167578	RAB4B	
Q9BZG1	ENSG00000109113	RAB34	
Q8ND07	ENSG00000119636	BBOF1	
Q9NRG9	ENSG00000094914	AAAS	
P11309	ENSG00000137193	PIM1	
Q13608	ENSG00000124587	PEX6	
Q8NFZ3	ENSG00000165246	NLGN4Y	
Q96CX3	ENSG00000281661; ENSG00000186446	ZNF501	
Q9BS18	ENSG00000129055	ANAPC13	
Q6EMK4	ENSG00000168140; ENSG00000274334	VASN	
Q8TB52	ENSG00000118496	FBXO30	
Q9NPI7	ENSG00000172086	KRCC1	
Q5T1B1	-	C10orf91	
Q969V6	ENSG00000196588	MRTFA	
Q8N6M8	ENSG00000173389	IQCF1	
Q86T03	ENSG00000165782	PIP4P1	
P49116	ENSG00000177463	NR2C2	
Q9NTG1	ENSG00000130943	PKDREJ	
Q86X29	ENSG00000105699	LSR	
P60827	ENSG00000184471	C1QTNF8	
Q9Y2Q3	ENSG00000197448	GSTK1	
Q8IUL8	ENSG00000160161	CILP2	
P00352	ENSG00000165092	ALDH1A1	
Q86VQ1	ENSG00000106415	GLCCI1	
Q9BRK0	ENSG00000132563	REEP2	
P30876	ENSG00000047315	POLR2B	
Q7RTY5	ENSG00000189099	PRSS48	
Q8NCS4	ENSG00000243749	TMEM35B	
Q9Y597	ENSG00000136636	KCTD3	
Q5H9F3	ENSG00000085185	BCORL1	
Q9UPM6	ENSG00000106852	LHX6	
Q9HB89	ENSG00000171596	NMUR1	
Q9BZM5	ENSG00000131015	ULBP2	
Q7Z4K8	ENSG00000163462	TRIM46	
Q9UK97	ENSG00000112146	FBXO9	
Q6QHC5	ENSG00000168350	DEGS2	
P54756	ENSG00000145242	EPHA5	
Q96P31	ENSG00000160856	FCRL3	
Q96PB8	ENSG00000179796	LRRC3B	
P01700	-	IGLV1-47	
Q6UXE8	ENSG00000168903	BTNL3	
P27707	ENSG00000156136	DCK	
Q75MW2	ENSG00000133624	ZNF767P	
P29972	ENSG00000240583	AQP1	
P28845	ENSG00000117594	HSD11B1	
Q8TEH3	ENSG00000119522	DENND1A	
Q8TE67	ENSG00000198758	EPS8L3	
Q9Y275	ENSG00000102524	TNFSF13B	
Q9P2B7	ENSG00000164323	CFAP97	
Q96GW7	ENSG00000132692	BCAN	
Q9NYA3	ENSG00000159289	GOLGA6A	
P80404	ENSG00000183044	ABAT	
Q9BQ65	ENSG00000103005	USB1	
Q9UJF2	ENSG00000075391	RASAL2	
Q8NHS4	ENSG00000162994	CLHC1	
Q9Y5X2	ENSG00000106266	SNX8	
O14559	ENSG00000004777	ARHGAP33	
Q8NH79	ENSG00000221931	OR6X1	
O00321	ENSG00000105672	ETV2	
Q86YD3	ENSG00000149582	TMEM25	
P28799	ENSG00000030582	GRN	
A1YPR0	ENSG00000184828	ZBTB7C	
P78415	ENSG00000177508	IRX3	
P20719	ENSG00000106004	HOXA5	
Q5VWI1	ENSG00000176769	TCERG1L	
Q96HL8	ENSG00000035115	SH3YL1	
A6NEM1	ENSG00000197978; ENSG00000274320	GOLGA6L9	
Q9BWQ8	ENSG00000135472	FAIM2	
O95279	ENSG00000164626	KCNK5	
Q9Y243	ENSG00000117020; ENSG00000275199	AKT3	
P09001	ENSG00000114686	MRPL3	
Q8NCL9	ENSG00000198768	APCDD1L	
Q9Y468	ENSG00000185513	L3MBTL1	
O60739	ENSG00000114784	EIF1B	
F2Z333	ENSG00000228594	FNDC10	
P09466	ENSG00000122133	PAEP	
P02533	ENSG00000186847	KRT14	
Q9H0M0	ENSG00000123124	WWP1	
Q8WV83	ENSG00000115084	SLC35F5	
Q9BX93	ENSG00000138308	PLA2G12B	
Q7L0Y3	ENSG00000174173	TRMT10C	
P57679	ENSG00000072840	EVC	
